	sideefects
16082	, muscle tightness, Muscle tightness
16083	, myotonic dystrophy, Myotonic dystrophy
16084	, skeletal injury, Skeletal injury
16085	, muscle contracture, Muscle contracture
16086	, tendinous contracture, Tendinous contracture
16087	, joint contracture, Joint contracture
16088	, muscle atrophy, Muscle atrophy
16089	, cardiac hypertrophy, Cardiac hypertrophy
16090	, dilatation ventricular, Dilatation ventricular
16091	, Ventricular dysfunction, dysfunction ventricular,ventricular dysfunction, ventricular dysfunction
16092	, ventricular pre-excitation, Ventricular pre-excitation
16093	, ventricular drainage, Ventricular drainage
16094	, ventricular hypoplasia, Ventricular hypoplasia
16095	, ventricular failure, Ventricular failure
16096	, ventricular hypokinesia, Ventricular hypokinesia
16097	, muscle rupture, Muscle rupture
16098	, joint laxity, Joint laxity
16099	, joint destruction, Joint destruction
16100	, crepitations, Crepitations
16101	, procedural pain, Procedural pain
16102	, procedural haemorrhage, Procedural haemorrhage
16103	, delusional perception, Delusional perception
16104	, confusional arousal, Confusional arousal
16105	, gender dysphoria, Gender dysphoria
16106	, defaecation urgency, Defaecation urgency
16107	, micturition urgency, Micturition urgency
16108	, infantile spitting up, Infantile spitting up
16109	, diabetic ketoacidotic hyperglycaemic coma, Diabetic ketoacidotic hyperglycaemic coma
16110	, diabetic hyperosmolar coma, Diabetic hyperosmolar coma
16111	, diabetic neuropathy, Diabetic neuropathy
16112	, uraemic encephalopathy, Uraemic encephalopathy
16113	, hepatic encephalopathy, Hepatic encephalopathy
16114	, temporal lobe epilepsy, Temporal lobe epilepsy
16115	, cataract operation, Cataract operation
16116	, cardiac contusion, Cardiac contusion
16117	, cardiac ventriculogram, Cardiac ventriculogram
16118	, cardiac septal defect, Cardiac septal defect
16119	, atrioventricular septal defect, Atrioventricular septal defect
16120	, cardiac flutter, Cardiac flutter
16121	, cardiac myxoma, Cardiac myxoma
16122	, cardiac murmur, Cardiac murmur
16123	, catheterisation cardiac, Catheterisation cardiac
16124	, cardiac perforation, Cardiac perforation
16125	, Dilatation atrial, dilatation atrial,atrial dilatation, dilatation atrial
16126	, skin fibrosis, Skin fibrosis
16127	, bladder fibrosis, Bladder fibrosis
16128	, radiation fibrosis, Radiation fibrosis
16129	, pelvic fibrosis, Pelvic fibrosis
16130	, pleural fibrosis, Pleural fibrosis
16131	, hepatic fibrosis, Hepatic fibrosis
16132	, mediastinal effusion, Mediastinal effusion
16133	, retroperitoneal effusion, Retroperitoneal effusion
16134	, crush injury, Crush injury
16135	, craniocerebral injury, Craniocerebral injury
16136	, tendon injury, Tendon injury
16137	, buttock injury, Buttock injury
16138	, perineal injury, Perineal injury
16139	, anal injury, Anal injury
16140	, palate injury, Palate injury
16141	, neonatal hypoxia, Neonatal hypoxia
16142	, brain abscess, Brain abscess
16143	, brain herniation, Brain herniation
16144	, brain operation, Brain operation
16145	, brain death, Brain death
16146	, ligament laxity, Ligament laxity
16147	, dislocation of vertebra, Dislocation of vertebra
16148	, tendon operation, Tendon operation
16149	, ligament rupture, Ligament rupture
16150	, tooth injury, Tooth injury
16151	, tooth hypoplasia, Tooth hypoplasia
16152	, tooth abscess, Tooth abscess
16153	, tooth impacted, Tooth impacted
16154	, tooth loss, Tooth loss
16155	, tooth ankylosis, Tooth ankylosis
16156	, gingival hyperpigmentation, Gingival hyperpigmentation
16157	, gingival erythema, Gingival erythema
16158	, gingival pain, Gingival pain
16159	, gingival discomfort, Gingival discomfort
16160	, gingival ulceration, Gingival ulceration
16161	, tongue pigmentation, Tongue pigmentation
16162	, jaw operation, Jaw operation
16163	, foot operation, Foot operation
16164	, toe operation, Toe operation
16165	, bunion operation, Bunion operation
16166	, eyelid operation, Eyelid operation
16167	, wrist surgery, Wrist surgery
16168	, perineal operation, Perineal operation
16169	, penile operation, Penile operation
16170	, anorectal operation, Anorectal operation
16171	, haemorrhoid operation, Haemorrhoid operation
16172	, cardiac operation, Cardiac operation
16173	, vocal cord atrophy, Vocal cord atrophy
16174	, vocal cord cyst, Vocal cord cyst
16175	, vocal cord inflammation, Vocal cord inflammation
16176	, spinal cord drainage, Spinal cord drainage
16177	, spinal cord operation, Spinal cord operation
16178	, spinal operation, Spinal operation
16179	, spinal cord infection, Spinal cord infection
16180	, spinal decompression, Spinal decompression
16181	, spinal laminectomy, Spinal laminectomy
16182	, mucosal hypertrophy, Mucosal hypertrophy
16183	, nasal mucosal hypertrophy, Nasal mucosal hypertrophy
16184	, smooth muscle cell neoplasm, Smooth muscle cell neoplasm
16185	, smooth muscle antibody positive, Smooth muscle antibody positive
16186	, paranasal sinus mucosal hypertrophy, Paranasal sinus mucosal hypertrophy
16187	, peptic ulcer, Peptic ulcer
16188	, duodenal ulcer, Duodenal ulcer
16189	, skin wound, Skin wound
16190	, memory impairment, Memory impairment
16191	, Vascular insufficiency, vascular insufficiency,insufficiency vascular, vascular insufficiency
16192	, arterial injury, Arterial injury
16193	, vascular imaging, Vascular imaging
16194	, vascular shunt, Vascular shunt
16195	, shunt infection, Shunt infection
16196	, vascular compression, Vascular compression
16197	, vascular purpura, Vascular purpura
16198	, hepatic hypertrophy, Hepatic hypertrophy
16199	, postrenal failure, Postrenal failure
16200	, renal amyloidosis, Renal amyloidosis
16201	, renal embolism, Renal embolism
16202	, biopsy muscle abnormal, Biopsy muscle abnormal
16203	, biopsy spleen abnormal, Biopsy spleen abnormal
16204	, biopsy intestine abnormal, Biopsy intestine abnormal
16205	, biopsy skin abnormal, Biopsy skin abnormal
16206	, biopsy heart abnormal, Biopsy heart abnormal
16207	, metastases to kidney, Metastases to kidney
16208	, metastases to liver, Metastases to liver
16209	, metastases to pleura, Metastases to pleura
16210	, metastases to oesophagus, Metastases to oesophagus
16211	, metastases to stomach, Metastases to stomach
16212	, metastases to rectum, Metastases to rectum
16213	, metastases to pelvis, Metastases to pelvis
16214	, metastases to thorax, Metastases to thorax
16215	, metastases to neck, Metastases to neck
16216	, metastases to penis, Metastases to penis
16217	, metastases to ovary, Metastases to ovary
16218	, skin lesion, Skin lesion
16219	, skin lesion removal, Skin lesion removal
16220	, muscle strain, Muscle strain
16221	, pulmonary infarction, Pulmonary infarction
16222	, heart injury, Heart injury
16223	, cartilage injury, Cartilage injury
16224	, hair injury, Hair injury
16225	, internal injury, Internal injury
16226	, face injury, Face injury
16227	, radiation injury, Radiation injury
16228	, hepatocellular injury, Hepatocellular injury
16229	, rectal injury, Rectal injury
16230	, ear injury, Ear injury
16231	, sternal injury, Sternal injury
16232	, tracheal injury, Tracheal injury
16233	, liver injury, Liver injury
16234	, splenic rupture, Splenic rupture
16235	, spleen contusion, Spleen contusion
16236	, splenic infarction, Splenic infarction
16237	, cardiac cirrhosis, Cardiac cirrhosis
16238	, cardiac steatosis, Cardiac steatosis
16239	, cardiac ablation, Cardiac ablation
16240	, cardiac failure, Cardiac failure
16241	, cardiac infection, Cardiac infection
16242	, endometriosis ablation, Endometriosis ablation
16243	, valvuloplasty cardiac, Valvuloplasty cardiac
16244	, urge incontinence, Urge incontinence
16245	, radical cystectomy, Radical cystectomy
16246	, transurethral prostatectomy, Transurethral prostatectomy
16247	, anal incontinence, Anal incontinence
16248	, anal prolapse, Anal prolapse
16249	, polycythaemia vera, Polycythaemia vera
16250	, rectal ulcer, Rectal ulcer
16251	, anal ulcer, Anal ulcer
16252	, ileal ulcer, Ileal ulcer
16253	, anorectal ulcer, Anorectal ulcer
16254	, rectal perforation, Rectal perforation
16255	, bladder perforation, Bladder perforation
16256	, bladder diverticulitis, Bladder diverticulitis
16257	, skin ulcer, Skin ulcer
16258	, palatal ulcer, Palatal ulcer
16259	, tonsillar ulcer, Tonsillar ulcer
16260	, mucocutaneous ulceration, Mucocutaneous ulceration
16261	, vulvovaginal erythema, Vulvovaginal erythema
16262	, traumatic ulcer, Traumatic ulcer
16263	, urethral haemorrhage, Urethral haemorrhage
16264	, pancreatic haemorrhage, Pancreatic haemorrhage
16265	, prostatic haemorrhage, Prostatic haemorrhage
16266	, appendiceal mucocoele, Appendiceal mucocoele
16267	, eye ulcer, Eye ulcer
16268	, stress fracture, Stress fracture
16269	, epiphyseal fracture, Epiphyseal fracture
16270	, sacroiliac fracture, Sacroiliac fracture
16271	, lisfranc fracture, Lisfranc fracture
16272	, forearm fracture, Forearm fracture
16273	, tongue haematoma, Tongue haematoma
16274	, vertebral lesion, Vertebral lesion
16275	, vertebral wedging, Vertebral wedging
16276	, torus fracture, Torus fracture
16277	, limb fracture, Limb fracture
16278	, complicated fracture, Complicated fracture
16279	, pelvic deformity, Pelvic deformity
16280	, upper limb fracture, Upper limb fracture
16281	, fracture of penis, Fracture of penis
16282	, impacted fracture, Impacted fracture
16283	, fracture infection, Fracture infection
16284	, open fracture, Open fracture
16285	, ligament pain, Ligament pain
16286	, bone pain, Bone pain
16287	, fracture reduction, Fracture reduction
16288	, fracture treatment, Fracture treatment
16289	, stress at work, Stress at work
16290	, excessive skin, Excessive skin
16291	, vaginal flatulence, Vaginal flatulence
16292	, wallerian degeneration, Wallerian degeneration
16293	, hepato-lenticular degeneration, Hepato-lenticular degeneration
16294	, intervertebral disc operation, Intervertebral disc operation
16295	, intervertebral disc injury, Intervertebral disc injury
16296	, intervertebral disc space narrowing, Intervertebral disc space narrowing
16297	, intervertebral discitis, Intervertebral discitis
16298	, lumbosacral radiculopathy, Lumbosacral radiculopathy
16299	, cranial nerve palsies multiple, Cranial nerve palsies multiple
16300	, cranial operation, Cranial operation
16301	, facial operation, Facial operation
16302	, vagal nerve stimulator implantation, Vagal nerve stimulator implantation
16303	, lumbosacral plexopathy, Lumbosacral plexopathy
16304	, intestinal infarction, Intestinal infarction
16305	, bladder injury, Bladder injury
16306	, gallbladder injury, Gallbladder injury
16307	, bursa injury, Bursa injury
16308	, aortic injury, Aortic injury
16309	, skin injury, Skin injury
16310	, ureteric compression, Ureteric compression
16311	, laryngeal injury, Laryngeal injury
16312	, genital herpes simplex, Genital herpes simplex
16313	, wound evisceration, Wound evisceration
16314	, mouth swelling, Mouth swelling
16315	, tongue haemorrhage, Tongue haemorrhage
16316	, pharyngeal haemorrhage, Pharyngeal haemorrhage
16317	, lip haemorrhage, Lip haemorrhage
16318	, spinal x-ray abnormal, Spinal X-ray abnormal
16319	, chest x-ray abnormal, Chest X-ray abnormal
16320	, skull x-ray abnormal, Skull X-ray abnormal
16321	, portal shunt, Portal shunt
16322	, shunt malfunction, Shunt malfunction
16323	, catheter placement, Catheter placement
16324	, drain placement, Drain placement
16325	, device embolisation, Device embolisation
16326	, ocular vasculitis, Ocular vasculitis
16327	, ocular sarcoidosis, Ocular sarcoidosis
16328	, macular pigmentation, Macular pigmentation
16329	, corneal deposits, Corneal deposits
16330	, sex chromosome abnormality, Sex chromosome abnormality
16331	, cytogenetic abnormality, Cytogenetic abnormality
16332	, enzyme abnormality, Enzyme abnormality
16333	, urine abnormality, Urine abnormality
16334	, chromosome analysis abnormal, Chromosome analysis abnormal
16335	, cytogenetic analysis abnormal, Cytogenetic analysis abnormal
16336	, sperm analysis abnormal, Sperm analysis abnormal
16337	, urine analysis abnormal, Urine analysis abnormal
16338	, lens discolouration, Lens discolouration
16339	, blood creatinine normal, Blood creatinine normal
16340	, b-lymphocyte abnormalities, B-lymphocyte abnormalities
16341	, k-ras gene mutation, K-ras gene mutation
16342	, egfr gene mutation, EGFR gene mutation
16343	, metastases to nervous system, Metastases to nervous system
16344	, systemic inflammatory response syndrome, Systemic inflammatory response syndrome
16345	, liver function test normal, Liver function test normal
16346	, pulmonary function challenge test abnormal, Pulmonary function challenge test abnormal
16347	, tethered cord syndrome, Tethered cord syndrome
16348	, gingival atrophy, Gingival atrophy
16349	, malpositioned teeth, Malpositioned teeth
16350	, hypoaesthesia teeth, Hypoaesthesia teeth
16351	, dental discomfort, Dental discomfort
16352	, biopsy bone marrow, Biopsy bone marrow
16353	, bone sarcoma, Bone sarcoma
16354	, bone atrophy, Bone atrophy
16355	, complications of bone marrow transplant, Complications of bone marrow transplant
16356	, rib deformity, Rib deformity
16357	, deformity of orbit, Deformity of orbit
16358	, nose deformity, Nose deformity
16359	, dental cyst, Dental cyst
16360	, dental caries, Dental caries
16361	, pulmonary amyloidosis, Pulmonary amyloidosis
16362	, hospice care, Hospice care
16363	, respite care, Respite care
16364	, supportive care, Supportive care
16365	, home care, Home care
16366	, foster care, Foster care
16367	, plasma cell disorder, Plasma cell disorder
16368	, fatty acid deficiency, Fatty acid deficiency
16369	, bilirubin excretion disorder, Bilirubin excretion disorder
16370	, glucose-6-phosphate dehydrogenase deficiency, Glucose-6-phosphate dehydrogenase deficiency
16371	, dihydropyrimidine dehydrogenase deficiency, Dihydropyrimidine dehydrogenase deficiency
16372	, hypoxanthine-guanine phosphoribosyl transferase deficiency, Hypoxanthine-guanine phosphoribosyl transferase deficiency
16373	, chelation therapy, Chelation therapy
16374	, sedative therapy, Sedative therapy
16375	, antibiotic therapy, Antibiotic therapy
16376	, antiallergic therapy, Antiallergic therapy
16377	, antiinflammatory therapy, Antiinflammatory therapy
16378	, drug therapy, Drug therapy
16379	, hormone therapy, Hormone therapy
16380	, rehabilitation therapy, Rehabilitation therapy
16381	, procoagulant therapy, Procoagulant therapy
16382	, hypercalcaemia of malignancy, Hypercalcaemia of malignancy
16383	, creatinine renal clearance, Creatinine renal clearance
16384	, deficiency of bile secretion, Deficiency of bile secretion
16385	, iron deficiency anaemia, Iron deficiency anaemia
16386	, impaired insulin secretion, Impaired insulin secretion
16387	, growth hormone deficiency, Growth hormone deficiency
16388	, postprandial hypoglycaemia, Postprandial hypoglycaemia
16389	, hyperinsulinaemic hypoglycaemia, Hyperinsulinaemic hypoglycaemia
16390	, nitritoid reaction, Nitritoid reaction
16391	, anaphylactoid reaction, Anaphylactoid reaction
16392	, anaphylactic reaction, Anaphylactic reaction
16393	, oxygen therapy, Oxygen therapy
16394	, therapy responder, Therapy responder
16395	, respiratory therapy, Respiratory therapy
16396	, inhalation therapy, Inhalation therapy
16397	, drug level, Drug level
16398	, Anticonvulsant drug level below therapeutic, Anticonvulsant drug level above therapeutic, anticonvulsant drug level above therapeutic, anticonvulsant drug level therapeutic, anticonvulsant drug level below therapeutic
16399	, Analgesic drug level above therapeutic, analgesic drug level below therapeutic, analgesic drug level above therapeutic
16400	, cardioactive drug level above therapeutic, Cardioactive drug level below therapeutic, cardioactive drug level below therapeutic, Cardioactive drug level above therapeutic
16401	, anticoagulation drug level abnormal, Anticoagulation drug level abnormal
16402	, benzodiazepine drug level abnormal, Benzodiazepine drug level abnormal
16403	, therapy naive, Therapy naive
16404	, thyroid mass, Thyroid mass
16405	, adrenal mass, Adrenal mass
16406	, ophthalmologic treatment, Ophthalmologic treatment
16407	, hepatorenal failure, Hepatorenal failure
16408	, vaccination failure, Vaccination failure
16409	, tetanus immunisation, Tetanus immunisation
16410	, immunisation, Immunisation
16411	, organ failure, Organ failure
16412	, anti a antibody, Anti A antibody
16413	, hepatitis a antibody, Hepatitis A antibody
16414	, drug specific antibody absent, Drug specific antibody absent
16415	, antiphospholipid antibodies, Antiphospholipid antibodies
16416	, photosensitivity reaction, Photosensitivity reaction
16417	, nonspecific reaction, Nonspecific reaction
16418	, no adverse reaction, adverse reaction, Adverse reaction
16419	, adverse food reaction, Adverse food reaction
16420	, reaction to colouring, Reaction to colouring
16421	, local reaction, Local reaction
16422	, reaction to azo-dyes, Reaction to azo-dyes
16423	, reaction to preservatives, Reaction to preservatives
16424	, unevaluable event, Unevaluable event
16425	, lung abscess, Lung abscess
16426	, rectal abscess, Rectal abscess
16427	, lung perforation, Lung perforation
16428	, lung infiltration, Lung infiltration
16429	, respiratory failure, Respiratory failure
16430	, respiratory dyskinesia, Respiratory dyskinesia
16431	, chronic cutaneous lupus erythematosus, Chronic cutaneous lupus erythematosus
16432	, sinoatrial block, Sinoatrial block
16433	, atrioventricular block, Atrioventricular block
16434	, trifascicular block, Trifascicular block
16435	, respiratory syncytial virus bronchiolitis, Respiratory syncytial virus bronchiolitis
16436	, relapsing fever, Relapsing fever
16437	, oedematous pancreatitis, Oedematous pancreatitis
16438	, eosinophilic myocarditis, Eosinophilic myocarditis
16439	, neutrophilic panniculitis, Neutrophilic panniculitis
16440	, cystitis interstitial, Cystitis interstitial
16441	, pustular psoriasis,psoriasis pustular, pustular psoriasis, Pustular psoriasis
16442	, allergic sinusitis, Allergic sinusitis
16443	, gastrointestinal amyloidosis, Gastrointestinal amyloidosis
16444	, bronchial haemorrhage, Bronchial haemorrhage
16445	, fistula of small intestine, Fistula of small intestine
16446	, glomerulonephritis minimal lesion, Glomerulonephritis minimal lesion
16447	, gastroenteropancreatic neuroendocrine tumour disease, Gastroenteropancreatic neuroendocrine tumour disease
16448	, neuroendocrine tumour, Neuroendocrine tumour
16449	, pulmonary arteriopathy, Pulmonary arteriopathy
16450	, essential hypertension, Essential hypertension
16451	, diastolic hypotension, Diastolic hypotension
16452	, pulmonary hypoperfusion, Pulmonary hypoperfusion
16453	, gestational diabetes, Gestational diabetes
16454	, ocular rosacea, Ocular rosacea
16455	, papulopustular rosacea, Papulopustular rosacea
16456	, erythematotelangiectatic rosacea, Erythematotelangiectatic rosacea
16457	, purpura senile, Purpura senile
16458	, secondary amyloidosis, Secondary amyloidosis
16459	, Hyperparathyroidism primary, primary hyperparathyroidism, hyperparathyroidism primary
16460	, secondary hypothyroidism, Secondary hypothyroidism
16461	, primary myelofibrosis, Primary myelofibrosis
16462	, secondary hypogonadism, Secondary hypogonadism
16463	, complement deficiency disease, Complement deficiency disease
16464	, skin infection, Skin infection
16465	, gastrooesophageal reflux disease, Gastrooesophageal reflux disease
16466	, transcatheter aortic valve implantation, Transcatheter aortic valve implantation
16467	, actinic keratosis, Actinic keratosis
16468	, keratosis pilaris, Keratosis pilaris
16469	, educational problem, Educational problem
16470	, parent-child problem, Parent-child problem
16471	, status migrainosus, Status migrainosus
16472	, bone marrow myelogram abnormal, Bone marrow myelogram abnormal
16473	, bone scan, Bone scan
16474	, pituitary apoplexy, Pituitary apoplexy
16475	, hypohidrosis, Hypohidrosis
16476	, retinoschisis, Retinoschisis
16477	, retinopathy of prematurity, Retinopathy of prematurity
16478	, retinopathy hypertensive, Retinopathy hypertensive
16479	, pneumonia viral, Pneumonia viral
16480	, viral labyrinthitis, Viral labyrinthitis
16481	, osteomyelitis viral, Osteomyelitis viral
16482	, gastroenteritis viral, Gastroenteritis viral
16483	, viral diarrhoea, Viral diarrhoea
16484	, viral pericarditis, Viral pericarditis
16485	, viral myocarditis, Viral myocarditis
16486	, viral rhinitis, Viral rhinitis
16487	, noninfective retinitis, Noninfective retinitis
16488	, diabetic cataract,cataract diabetic, cataract diabetic
16489	, lip exfoliation, Lip exfoliation
16490	, tongue exfoliation, Tongue exfoliation
16491	, deafness bilateral, Deafness bilateral
16492	, blindness traumatic, Blindness traumatic
16493	, deafness traumatic, Deafness traumatic
16494	, neurosensory hypoacusis, Neurosensory hypoacusis
16495	, phyllodes tumour, Phyllodes tumour
16496	, rhabdoid tumour, Rhabdoid tumour
16497	, glioneuronal tumour, Glioneuronal tumour
16498	, rib excision, Rib excision
16499	, patella replacement, Patella replacement
16500	, ingrowing nail, Ingrowing nail
16501	, blindness day, Blindness day
16502	, night blindness, Night blindness
16503	, apocrine miliaria, Apocrine miliaria
16504	, paraneoplastic pemphigus, Paraneoplastic pemphigus
16505	, endocarditis candida, Endocarditis candida
16506	, streptococcal abscess, Streptococcal abscess
16507	, staphylococcal abscess, Staphylococcal abscess
16508	, enterococcal sepsis, Enterococcal sepsis
16509	, corynebacterium bacteraemia, Corynebacterium bacteraemia
16510	, staphylococcal sepsis, Staphylococcal sepsis
16511	, pseudomonal sepsis, Pseudomonal sepsis
16512	, body tinea, Body tinea
16513	, tinea capitis, Tinea capitis
16514	, erythema infectiosum, Erythema infectiosum
16515	, scrotal erythema, Scrotal erythema
16516	, erythema migrans, Erythema migrans
16517	, erythema multiforme, Erythema multiforme
16518	, erythema annulare, Erythema annulare
16519	, neutrophilic dermatosis, Neutrophilic dermatosis
16520	, granulomatous dermatitis, Granulomatous dermatitis
16521	, Diffuse alopecia, diffuse alopecia,alopecia diffuse, diffuse alopecia
16522	, androgenetic alopecia, Androgenetic alopecia
16523	, alopecia universalis, Alopecia universalis
16524	, alopecia areata, Alopecia areata
16525	, meningitis streptococcal, Meningitis streptococcal
16526	, meningitis meningococcal, Meningitis meningococcal
16527	, listeria sepsis, Listeria sepsis
16528	, pneumonia haemophilus, Pneumonia haemophilus
16529	, meningococcal bacteraemia, Meningococcal bacteraemia
16530	, streptococcal sepsis, Streptococcal sepsis
16531	, pneumonia staphylococcal, Pneumonia staphylococcal
16532	, meningitis fungal, Meningitis fungal
16533	, meningitis neonatal, Meningitis neonatal
16534	, chlamydial cervicitis, Chlamydial cervicitis
16535	, emphysematous pyelonephritis, Emphysematous pyelonephritis
16536	, purulent pericarditis, Purulent pericarditis
16537	, vaginitis chlamydial, Vaginitis chlamydial
16538	, pneumonia chlamydial, Pneumonia chlamydial
16539	, atrophic glossitis, Atrophic glossitis
16540	, mycetoma mycotic, Mycetoma mycotic
16541	, acanthamoeba keratitis, Acanthamoeba keratitis
16542	, keratitis bacterial, Keratitis bacterial
16543	, tonsillitis bacterial, Tonsillitis bacterial
16544	, bacterial tracheitis, Bacterial tracheitis
16545	, fungal peritonitis, Fungal peritonitis
16546	, pyelonephritis fungal, Pyelonephritis fungal
16547	, fungal rhinitis, Fungal rhinitis
16548	, eyelids pruritus, Eyelids pruritus
16549	, vitreous adhesions, Vitreous adhesions
16550	, blepharal pigmentation, Blepharal pigmentation
16551	, dacryocystitis, Dacryocystitis
16552	, pharyngitis streptococcal, Pharyngitis streptococcal
16553	, staphylococcal pharyngitis, Staphylococcal pharyngitis
16554	, pneumococcal sepsis, Pneumococcal sepsis
16555	, pneumonia escherichia, Pneumonia escherichia
16556	, aspergillus test, Aspergillus test
16557	, pericarditis fungal, Pericarditis fungal
16558	, haemophilus bacteraemia, Haemophilus bacteraemia
16559	, pneumonia lipoid, Pneumonia lipoid
16560	, cystitis pseudomonal, Cystitis pseudomonal
16561	, allergic cough, Allergic cough
16562	, noninfective myringitis, Noninfective myringitis
16563	, staphylococcal osteomyelitis, Staphylococcal osteomyelitis
16564	, endocarditis staphylococcal, Endocarditis staphylococcal
16565	, streptococcal endocarditis, Streptococcal endocarditis
16566	, bacterial vaginosis, Bacterial vaginosis
16567	, bacterial prostatitis, Bacterial prostatitis
16568	, mastitis fungal, Mastitis fungal
16569	, bacterial sepsis, Bacterial sepsis
16570	, abscess bacterial, Abscess bacterial
16571	, choledocholithotomy, Choledocholithotomy
16572	, joint effusion, Joint effusion
16573	, mediastinal haematoma, Mediastinal haematoma
16574	, haematoma evacuation, Haematoma evacuation
16575	, skin warm, warm skin, Skin warm
16576	, sticky skin, Sticky skin
16577	, tumour perforation, Tumour perforation
16578	, tumour inflammation, Tumour inflammation
16579	, glomus tumour, Glomus tumour
16580	, tumour excision, Tumour excision
16581	, tumour pseudoprogression, Tumour pseudoprogression
16582	, tumour exudation, Tumour exudation
16583	, cerebellar tumour, Cerebellar tumour
16584	, tumour flare, Tumour flare
16585	, penile swelling, Penile swelling
16586	, ovarian oedema, Ovarian oedema
16587	, eye infection, Eye infection
16588	, ear infection, Ear infection
16589	, penile infection, Penile infection
16590	, ear pruritus, Ear pruritus
16591	, plantar erythema, Plantar erythema
16592	, testicular swelling, Testicular swelling
16593	, auricular swelling, Auricular swelling
16594	, pharyngolaryngeal abscess, Pharyngolaryngeal abscess
16595	, stitch abscess, Stitch abscess
16596	, clitoris abscess, Clitoris abscess
16597	, bronchial irritation, Bronchial irritation
16598	, cervix erythema, Cervix erythema
16599	, deafness transitory, Deafness transitory
16600	, salpingo-oophorectomy unilateral, Salpingo-oophorectomy unilateral
16601	, conductive deafness, Conductive deafness
16602	, acrochordon excision, Acrochordon excision
16603	, urticaria cholinergic, Urticaria cholinergic
16604	, urticaria vesiculosa, Urticaria vesiculosa
16605	, mechanical urticaria, Mechanical urticaria
16606	, systemic scleroderma, Systemic scleroderma
16607	, intra-ocular injection, Intra-ocular injection
16608	, fear of injection, Fear of injection
16609	, parotid lipomatosis, Parotid lipomatosis
16610	, perineal fistula, Perineal fistula
16611	, myocarditis infectious, Myocarditis infectious
16612	, meningitis noninfective, Meningitis noninfective
16613	, croup infectious, Croup infectious
16614	, pancreatitis viral, Pancreatitis viral
16615	, cystitis viral, Cystitis viral
16616	, lichen planus, Lichen planus
16617	, lichen sclerosus, Lichen sclerosus
16618	, autoimmune thyroiditis, Autoimmune thyroiditis
16619	, autoimmune hypothyroidism, Autoimmune hypothyroidism
16620	, head discomfort, Head discomfort
16621	, itching scar, Itching scar
16622	, vulvovaginal pain, Vulvovaginal pain
16623	, vulvovaginal discomfort, Vulvovaginal discomfort
16624	, Cancer pain, pain cancer,cancer pain, cancer pain
16625	, breast ulceration, Breast ulceration
16626	, ocular icterus, Ocular icterus
16627	, nail discomfort, Nail discomfort
16628	, nail pitting, Nail pitting
16629	, nail pigmentation, Nail pigmentation
16630	, nail atrophy, Nail atrophy
16631	, mallet finger, Mallet finger
16632	, trigger finger, Trigger finger
16633	, Bronchospasm paradoxical, paradoxical bronchospasm,bronchospasm paradoxical, bronchospasm paradoxical
16634	, dyspnoea at rest, Dyspnoea at rest
16635	, swelling face, Swelling face
16636	, mucosal excoriation, Mucosal excoriation
16637	, ear congestion, Ear congestion
16638	, eye irrigation, Eye irrigation
16639	, lymphocytic hypophysitis, Lymphocytic hypophysitis
16640	, haemophilic arthropathy, Haemophilic arthropathy
16641	, dactylitis, Dactylitis
16642	, spondylitis, Spondylitis
16643	, ankylosing spondylitis, Ankylosing spondylitis
16644	, cholinergic syndrome, Cholinergic syndrome
16645	, flagellate dermatitis, Flagellate dermatitis
16646	, dermatitis diaper, Dermatitis diaper
16647	, eczema infected, Eczema infected
16648	, trichostasis spinulosa, Trichostasis spinulosa
16649	, administration site erythema, Administration site erythema
16650	, umbilical erythema, Umbilical erythema
16651	, squamous cell carcinoma of the vagina, Squamous cell carcinoma of the vagina
16652	, squamous cell carcinoma of pharynx, Squamous cell carcinoma of pharynx
16653	, lung squamous cell carcinoma metastatic, Lung squamous cell carcinoma metastatic
16654	, squamous cell carcinoma of lung, Squamous cell carcinoma of lung
16655	, laryngeal squamous cell carcinoma, Laryngeal squamous cell carcinoma
16656	, oropharyngeal squamous cell carcinoma, Oropharyngeal squamous cell carcinoma
16657	, penile squamous cell carcinoma, Penile squamous cell carcinoma
16658	, squamous cell carcinoma of the oral cavity, Squamous cell carcinoma of the oral cavity
16659	, bladder transitional cell carcinoma recurrent, Bladder transitional cell carcinoma recurrent
16660	, clear cell sarcoma of the kidney, Clear cell sarcoma of the kidney
16661	, intraductal proliferative breast lesion, Intraductal proliferative breast lesion
16662	, alopecia totalis, Alopecia totalis
16663	, ocular pemphigoid, Ocular pemphigoid
16664	, rash follicular, Rash follicular
16665	, occupational asthma, Occupational asthma
16666	, blastomycosis, Blastomycosis
16667	, histoplasmosis disseminated, Histoplasmosis disseminated
16668	, skin bacterial infection, Skin bacterial infection
16669	, thrombophlebitis migrans, Thrombophlebitis migrans
16670	, anal fissure, Anal fissure
16671	, anal dilatation, Anal dilatation
16672	, anal spasm, Anal spasm
16673	, rectal fissure, Rectal fissure
16674	, solar lentigo, Solar lentigo
16675	, immune-mediated hepatitis, Immune-mediated hepatitis
16676	, autoimmune hepatitis, Autoimmune hepatitis
16677	, rheumatoid nodule removal, Rheumatoid nodule removal
16678	, systemic mycosis, Systemic mycosis
16679	, systemic infection, Systemic infection
16680	, pulmonary toxicity, Pulmonary toxicity
16681	, osteitis condensans, Osteitis condensans
16682	, diabetic amyotrophy, Diabetic amyotrophy
